fight_id,event_date,weight_class,diff_pre_slpm,diff_pre_sapm,diff_pre_str_acc,diff_pre_str_def,diff_pre_td_avg,diff_pre_td_acc,diff_pre_td_def,diff_pre_sub_avg,diff_pre_kd_avg,diff_pre_ctrl_pct,diff_pre_win_pct,diff_age_at_fight,diff_height_inches,diff_reach_inches,diff_prior_fight_count,target_win,target_method
1e3c67921162561d,2017-12-16,Middleweight,-1.6857142857142857,-0.6571428571428575,0.02490957318543524,-0.14097935758585578,-0.8571428571428571,-0.0444444444444444,-0.3214285714285714,0.0,0.42857142857142855,-0.05523809523809524,-0.08333333333333331,2.357289527720738,-1.0,4.0,1,0,KO/TKO
fdc82a98c68588c4,2011-09-17,Lightweight,1.685714285714286,-0.2714285714285718,0.15325214658510578,-0.03370429252782192,-0.4285714285714286,-0.02941176470588236,0.15675675675675682,2.142857142857143,0.42857142857142855,-0.04666666666666666,0.0,0.7611225188227273,1.0,-5.0,3,1,Decision
39e7bb2a0842b8a1,2011-11-19,Lightweight,-0.5,2.378181818181818,-0.23689342663760468,0.044161341341890425,-1.5,-0.125,-0.036363636363636376,0.0,-0.13636363636363635,-0.06915151515151513,-0.09999999999999998,-3.07734428473648,0.0,4.0,-6,0,KO/TKO
28b6ee9c3eb8b753,2020-11-28,Welterweight,1.2999999999999998,0.480952380952381,0.14218702119133492,-0.06826039295050168,-0.07142857142857145,-0.16666666666666669,0.19999999999999996,0.8571428571428571,1.1428571428571428,-0.009523809523809525,0.33333333333333337,-2.2067077344284733,4.0,1.0,0,1,Submission
43e26b46cbb51985,2026-03-21,Light Heavyweight,0.6909090909090909,1.6,0.17696414950419526,0.03131115459882583,-1.0909090909090908,-0.2857142857142857,0.6666666666666666,0.0,4.2272727272727275,-0.27075757575757575,0.7142857142857143,-11.030800821355232,-6.0,-7.0,-5,1,KO/TKO
1e176413438fabd5,2015-05-16,Lightweight,-0.9833333333333334,-1.9999999999999996,-0.07634703945120869,0.07900588362620287,-0.75,-0.5,-0.0625,-1.0,1.0,-0.16305555555555554,0.0,1.3716632443531864,-2.0,-2.0,-2,0,Submission
ce6f4d06fe5b51f3,2011-02-05,Bantamweight,-0.9402714932126695,1.2144796380090495,-0.053399541634835734,-0.16221806591163013,1.7307692307692308,0.5769230769230769,0.6666666666666666,-1.3031674208144794,-0.12895927601809942,0.07091251885369533,-0.15000000000000002,1.3223819301848039,-4.0,-13.0,2,0,Decision
39417b7d07c2fd83,2026-05-16,Women's Strawweight,0.8342857142857141,-2.857142857142857,0.05048754062838573,-0.08012887625043053,-2.5714285714285716,-0.24,0.4,-0.2571428571428571,0.0,-0.1362857142857143,0.16666666666666669,3.0335386721423667,2.0,3.0,1,0,Submission
579e06e9e88def0b,2009-11-18,Bantamweight,1.5823529411764705,-0.4745098039215687,0.08000883071009296,0.027007818052594113,2.4705882352941178,0.6086956521739131,0.07843137254901966,-0.9705882352941176,0.5294117647058824,0.09761437908496733,0.0714285714285714,-2.8829568788501057,-2.0,-3.0,5,1,Decision
7fec3b1ec923ad24,2019-02-17,Bantamweight,0.6640000000000001,-0.992,0.15660519187651473,-0.02794318492215242,-1.0799999999999998,-0.11764705882352944,-0.21111111111111114,-0.23999999999999994,0.36,-0.019000000000000017,-0.1470588235294118,1.1362080766598197,0.0,-3.0,-11,1,KO/TKO
e22a887ce4ab30eb,2018-02-24,Bantamweight,-0.48545454545454536,0.8772727272727274,-0.1688580566842015,-0.02117049647462832,0.1636363636363638,-0.04545454545454547,0.13181818181818183,-0.7227272727272727,-0.32727272727272727,-0.06966666666666665,0.06666666666666665,-0.45174537987679386,0.0,4.0,12,0,Decision
50935ae1627fc89b,2016-09-24,Featherweight,-2.077327935222672,-1.5234817813765182,0.003035851090075703,-0.03025793650793651,0.2004048582995952,-0.07894736842105265,-0.7243589743589743,0.37044534412955477,-0.3157894736842105,-0.004385964912280688,-0.5692307692307692,2.992470910335385,3.0,2.0,-8,0,Decision
80ce8f7d988d5e57,2019-11-16,Featherweight,0.1990384615384615,0.8865384615384615,0.001992709041539309,-0.0036444240090000024,-0.5769230769230771,0.04901960784313725,-0.31304347826086965,-0.5192307692307693,0.14423076923076922,-0.1315705128205128,-0.11111111111111116,1.6098562628336737,1.0,-2.0,-12,1,Decision
ac9e19a4075f6557,2017-07-29,Catch Weight,0.007317073170731714,-1.8907317073170733,0.12452318966774661,0.06523987089900674,0.9329268292682928,-0.04428754813863928,-0.41185897435897434,0.5378048780487805,-0.2926829268292683,0.22985365853658538,-0.0714285714285714,-2.496919917864478,1.0,1.0,-7,1,Decision
1019f330bdecfc65,2013-09-21,Bantamweight,-0.3281481481481481,0.7799999999999998,-0.05998285957091315,0.07994667819570545,-1.2055555555555555,-0.13450292397660824,-0.14750290360046447,-0.6777777777777777,0.6277777777777778,-0.2021111111111111,-0.36363636363636365,2.5982203969883635,1.0,-1.0,4,0,KO/TKO
f17813d03fcd8e7a,2022-12-03,Welterweight,-2.4364559532876364,-1.7221629855293221,-0.018431220283751493,0.16415668157964947,1.6877380045696877,0.09831460674157305,0.03345280764635605,0.19725818735719725,-0.28332063975628335,0.16425234831175428,0.025000000000000022,4.517453798767967,-4.0,-2.0,17,1,Submission
