error_id,entity_type,entity_id,context,url,error_name,description,occurred_at,resolved
191,fight,e22f3f1b19d4b51c,,http://ufcstats.com/fight-details/e22f3f1b19d4b51c,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:10,0
192,fight,5b959d6c68d6daa0,,http://ufcstats.com/fight-details/5b959d6c68d6daa0,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:12,0
193,fight,d3fbdc3cb3efc7aa,,http://ufcstats.com/fight-details/d3fbdc3cb3efc7aa,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:18,0
194,fight,31bd98c45d06a038,,http://ufcstats.com/fight-details/31bd98c45d06a038,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:18,0
195,fight,7d19db5befd8ddde,,http://ufcstats.com/fight-details/7d19db5befd8ddde,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:19,0
196,fight,f15c1bd6bbaf2be2,,http://ufcstats.com/fight-details/f15c1bd6bbaf2be2,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:21,0
197,fight,0349606b5b992dec,,http://ufcstats.com/fight-details/0349606b5b992dec,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:24,0
198,fight,a434830b1f2c43fc,,http://ufcstats.com/fight-details/a434830b1f2c43fc,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:25,0
199,fight,f77022dfc627e121,,http://ufcstats.com/fight-details/f77022dfc627e121,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:39,0
200,fight,0eadf39171bd7e3e,,http://ufcstats.com/fight-details/0eadf39171bd7e3e,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:39,0
201,fight,2144d4e090b15e55,,http://ufcstats.com/fight-details/2144d4e090b15e55,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:42,0
202,fight,8bfcaa85e06dc84b,,http://ufcstats.com/fight-details/8bfcaa85e06dc84b,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:43,0
203,fight,f3e8d68765b2a75d,,http://ufcstats.com/fight-details/f3e8d68765b2a75d,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:54,0
204,fight,8192d10021f932f9,,http://ufcstats.com/fight-details/8192d10021f932f9,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:58,0
205,fight,ca66e28f1d4f8125,,http://ufcstats.com/fight-details/ca66e28f1d4f8125,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:58,0
206,fight,ac8ac7fcbdf2f9fe,,http://ufcstats.com/fight-details/ac8ac7fcbdf2f9fe,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:25:59,0
207,fight,802c28015de08bd3,,http://ufcstats.com/fight-details/802c28015de08bd3,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:07,0
208,fight,7a5534eae872c5ae,,http://ufcstats.com/fight-details/7a5534eae872c5ae,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:20,0
209,fight,a1db4c917777aa79,,http://ufcstats.com/fight-details/a1db4c917777aa79,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:28,0
210,fight,30a4a652eb4dbaaa,,http://ufcstats.com/fight-details/30a4a652eb4dbaaa,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:48,0
211,fight,6cca675fbec5a9ca,,http://ufcstats.com/fight-details/6cca675fbec5a9ca,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:49,0
212,fight,3963c77bd1628165,,http://ufcstats.com/fight-details/3963c77bd1628165,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:49,0
213,fight,b80872821bc4f6ba,,http://ufcstats.com/fight-details/b80872821bc4f6ba,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:49,0
214,fight,b31af4ba792c9d19,,http://ufcstats.com/fight-details/b31af4ba792c9d19,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:50,0
215,fight,5c8b91073cc25f33,,http://ufcstats.com/fight-details/5c8b91073cc25f33,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:55,0
216,fight,1db0f571823145d8,,http://ufcstats.com/fight-details/1db0f571823145d8,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:55,0
217,fight,8cefea96a5f67fc9,,http://ufcstats.com/fight-details/8cefea96a5f67fc9,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:55,0
218,fight,98f15526cc0a461c,,http://ufcstats.com/fight-details/98f15526cc0a461c,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:56,0
219,fight,25545fe0c7044932,,http://ufcstats.com/fight-details/25545fe0c7044932,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:57,0
220,fight,6c846719d1f2c568,,http://ufcstats.com/fight-details/6c846719d1f2c568,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:26:57,0
221,fight,473ecef5e925971d,,http://ufcstats.com/fight-details/473ecef5e925971d,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:02,0
222,fight,1ac0a44f1627f05d,,http://ufcstats.com/fight-details/1ac0a44f1627f05d,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:02,0
223,fight,43a6c66af55008ad,,http://ufcstats.com/fight-details/43a6c66af55008ad,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:03,0
224,fight,bbf93892f1a9017c,,http://ufcstats.com/fight-details/bbf93892f1a9017c,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:10,0
225,fight,d0f2fb4dfac623a6,,http://ufcstats.com/fight-details/d0f2fb4dfac623a6,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:11,0
226,fight,74b5745fa01bb350,,http://ufcstats.com/fight-details/74b5745fa01bb350,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:12,0
227,fight,dcec9cc0f4ac8f95,,http://ufcstats.com/fight-details/dcec9cc0f4ac8f95,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:13,0
228,fight,2f5e1c2bb8dec84b,,http://ufcstats.com/fight-details/2f5e1c2bb8dec84b,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:13,0
229,fight,c2764af250e03bf8,,http://ufcstats.com/fight-details/c2764af250e03bf8,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:16,0
230,fight,d781ee8ef1a4bb65,,http://ufcstats.com/fight-details/d781ee8ef1a4bb65,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:24,0
231,fight,69f0b5f253d42c3d,,http://ufcstats.com/fight-details/69f0b5f253d42c3d,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:36,0
232,fight,1ba7b5adb35da81a,,http://ufcstats.com/fight-details/1ba7b5adb35da81a,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:39,0
233,fight,c86a90967b123d31,,http://ufcstats.com/fight-details/c86a90967b123d31,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:39,0
234,fight,4b97406fa671a438,,http://ufcstats.com/fight-details/4b97406fa671a438,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:54,0
235,fight,df8d4ceb9239f2f8,,http://ufcstats.com/fight-details/df8d4ceb9239f2f8,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:54,0
236,fight,cb052007d1f07eea,,http://ufcstats.com/fight-details/cb052007d1f07eea,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:27:57,0
237,fight,3c98de092f314d9e,,http://ufcstats.com/fight-details/3c98de092f314d9e,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:28:30,0
238,fight,c0002de181334f3e,,http://ufcstats.com/fight-details/c0002de181334f3e,PartialFightParse,"expected 2 round-by-round tables, found 0 -- this fight likely has no round stats on ufcstats.com (common for older fights)",2026-08-11 06:28:48,0
