fight_id,bonus_type
70290140b6a8e038,Performance of the Night
1e603e6aa6d1a750,Performance of the Night
3d468536e8904b93,Performance of the Night
f2ced83baf0457fc,Performance of the Night
24393bea0c4cf49a,Knockout of the Night
9a92d376fba2379d,Performance of the Night
ddc233f8ca7c05aa,Knockout of the Night
a59dfa68457f92bf,Submission of the Night
58811a4e36c53b89,Performance of the Night
66873dde4077bd5d,Performance of the Night
573d3a6984cbcd29,Performance of the Night
f5686732b85adafc,Submission of the Night
ab8b506dd2277da3,Fight of the Night
c27bec45d5a29a2c,Fight of the Night
ab8b506dd2277da3,Submission of the Night
c64c6ba6eb1e1d06,Performance of the Night
0ace7e71f5d66bc9,Performance of the Night
a26ea74f2e908842,Performance of the Night
911b73db91738da6,Performance of the Night
a716172939767cab,Performance of the Night
654127f5b9140be2,Performance of the Night
bd6d144f5c0b6cab,Performance of the Night
ef1cd6371a3f18e0,Performance of the Night
84b66bf7fba2d59d,Performance of the Night
6ea77cb62aa2f276,Performance of the Night
1bc662949337a8c4,Performance of the Night
2dc48a745d6c662b,Performance of the Night
b3c7a5a97978d156,Fight of the Night
69aa797cef2e4782,Performance of the Night
aeb0322f619213b1,Performance of the Night
203b3098d892c3b1,Performance of the Night
1bfb8faa1edd3867,Submission of the Night
68ae50dbf98dc15f,Performance of the Night
dd12bf51c5ed7f1e,Performance of the Night
e2abba69c3371618,Performance of the Night
1c85f793ea4f9caa,Performance of the Night
54c5284c1b792912,Fight of the Night
65d777a16fce2be8,Fight of the Night
d417609ea9670fb3,Performance of the Night
f930743af6564795,Performance of the Night
2cbd53e43d3f606b,Performance of the Night
1de342e9309c5f0f,Performance of the Night
627c0a50cff30405,Performance of the Night
498766b46b8b4a7f,Performance of the Night
c7765a3255701267,Performance of the Night
004885f7983f4658,Fight of the Night
52db9c816eb99800,Performance of the Night
85feac6924abb35b,Performance of the Night
0a2f344e419bd4fd,Performance of the Night
94c7e64ce88c9b9e,Fight of the Night
5ab0e805e90d20d5,Submission of the Night
340d5e6f22ff6ac4,Fight of the Night
93b7ae1e0f79d100,Performance of the Night
a5ea53104392fa9f,Fight of the Night
bbebfc54abbb1d8b,Performance of the Night
18292c8eb20ae045,Performance of the Night
