event_id,fight_id,weight_class,title_fight,r_id,b_id,winner_id,result_status,method,round,time,time_format,referee,details
5eedbf1e9601be35,556055969b2f0bd7,Featherweight,0,d0f3959b4a9747e6,d247691a6c0e9034,d0f3959b4a9747e6,win,KO/TKO,1,0:08,3 Rnd (5-5-5),Steve Mazzagatti,Flying Knee Head
67ec58d7cf599835,25da6035f591c245,Welterweight,0,d317a5e2b3f88c5f,e70de1859b7ee78e,d317a5e2b3f88c5f,win,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Osiris Maia,
c9b7071f15ac838c,b72edfcf37abdc98,Middleweight,0,28e088bbcaaa6366,d53482bef23235ba,d53482bef23235ba,win,Submission,1,1:52,3 Rnd (5-5-5),Jason Herzog,Guillotine Choke After Drop to Guard
aec273fcb765330d,b9e037a45f8850fb,Featherweight,0,b93c06d09d1c4ac0,11583163f45c7b31,11583163f45c7b31,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Gino Garcia 27 - 30. Sal D'amato 27 - 30. Joel Ojeda 27 - 30.
0aa92558424ced9e,79db1d9b15e16b1d,Light Heavyweight,0,0541480fbf719d86,7f955f71fa2ce7ac,0541480fbf719d86,win,KO/TKO,1,1:01,3 Rnd (5-5-5),Yves Lavigne,Knee to Head In Clinch
92c96df8bdab5fea,46f81d5ecd974c1c,Lightweight,0,ca28cdf526d6b6e9,52b6bf4528130e86,ca28cdf526d6b6e9,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 27 - 30. Anders Ohlsson 27 - 30. Cezary Wojciechowski 27 - 30.
32541eb5d12668b4,1ca4274019680d23,Welterweight,0,fcce75a25c14a804,e70de1859b7ee78e,e70de1859b7ee78e,win,Decision - Split,3,5:00,3 Rnd (5-5-5),Ed Collantes,Brandon Saucedo 29 - 28. Mike Guingona 27 - 30. Ron McCarthy 27 - 30.
b12a1d19ee383b7c,eba46dbf9cdd83c0,Middleweight,0,e1147d3d2dabe1ce,b07aed698fba8624,e1147d3d2dabe1ce,win,KO/TKO,1,1:49,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance
13a0fb8fbdafb54f,7024385b5107bd4b,Middleweight,0,b07aed698fba8624,d317a5e2b3f88c5f,b07aed698fba8624,win,KO/TKO,1,2:07,3 Rnd (5-5-5),Lukasz Bosacki,Punches to Head At Distance
41904fc4d3f5bffc,dc3cdbd2e0a17d9d,Middleweight,0,b07aed698fba8624,72782745eb47161a,b07aed698fba8624,win,Submission,1,2:09,3 Rnd (5-5-5),Mark Smith,Kimura From Side Control
e8c170a64dc920ac,e57b884785848624,Welterweight,0,c4fe2e9a06ea5bcb,5a6e4d2f0c76a242,c4fe2e9a06ea5bcb,win,KO/TKO,1,4:57,3 Rnd (5-5-5),Steve Perceval,"Kick to Head At Distance
      Front Kick"
92c96df8bdab5fea,6f0231915cc28507,Bantamweight,0,a4dc0f2b95df4cc1,4a6dff1b260bcf61,4a6dff1b260bcf61,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 27 - 30. Cezary Wojciechowski 27 - 30. Anders Ohlsson 28 - 29.
28d8638ea0a71908,887c61da1a78a5e1,Flyweight,0,8d3273573b85be09,88be62d6c1e6dadb,8d3273573b85be09,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,David Lethaby 27 - 30. Clemens Werner 27 - 30. Mark Collett 28 - 29.
92c96df8bdab5fea,443f30a4a856584a,Flyweight,0,ab2b4ff41d6ebe0f,8d3273573b85be09,8d3273573b85be09,win,Submission,3,0:22,3 Rnd (5-5-5),Daniel Movahedi,Guillotine Choke In Clinch
6f81b6de2557739a,6b5c225814a924ed,Flyweight,0,6d68c1afe954f121,8d3273573b85be09,8d3273573b85be09,win,Submission,2,3:11,3 Rnd (5-5-5),Gary Copeland,Rear Naked Choke
